article,chunk_name,png_path,code,functions,function_labels
226-plot-types-for-circular-plot,thecode4-1,images/226-plot-types-for-circular-plot/thecode4-1.png,"# Upload library
library(circlize)
circos.par(""track.height"" = 0.4)

# Create data
data = data.frame(
    factor = sample(letters[1:8], 1000, replace = TRUE),
    x = rnorm(1000),
    y = runif(1000)
    )

# Step1: Initialise the chart giving factor and x-axis.
circos.initialize( factors=data$factor, x=data$x )

circos.trackHist(data$factor, data$x, bg.col = ""white"", col = ""#69b3a2"")","library,circos.par,=,data.frame,sample,[,:,rnorm,runif,circos.initialize,$,circos.trackHist",
227-add-several-tracks,thecode-1,images/227-add-several-tracks/thecode-1.png,"#library
library(circlize)
circos.clear()

#Create data
data = data.frame(
    factor = sample(letters[1:8], 1000, replace = TRUE),
    x = rnorm(1000), 
    y = runif(1000)
    )
 
#Initialize the plot.
par(mar = c(1, 1, 1, 1) ) 
circos.initialize(factors = data$factor, x = data$x )
 

# Build the regions of track #1 
circos.trackPlotRegion(factors = data$factor, y=data$y, panel.fun = function(x, y) {
    circos.axis(labels.cex=0.5, labels.font=1, lwd=0.8)
    })
# --> Add a scatterplot on it:
circos.trackPoints(data$factor, data$x, data$y, col = rgb(0.1,0.5,0.8,0.3), pch=20)
 
 
# Build the regions of track #2:
circlize::circos.trackPlotRegion(factors = data$factor, y=data$y, panel.fun = function(x, y) {
    circos.axis(labels=FALSE, major.tick=FALSE)
    })
# --> Add a scatterplot on it
circos.trackPoints(data$factor, data$x, data$y, col = rgb(0.9,0.5,0.8,0.3), pch=20, cex=2)
 
 
# Add track #3 --> don't forget you can custom the height of tracks!
circos.par(""track.height"" = 0.4)
circos.trackPlotRegion(factors = data$factor, y=data$y, panel.fun = function(x, y) {
    circos.axis(labels=FALSE, major.tick=FALSE)
    })
circos.trackLines(data$factor, data$x, data$y, col = rgb(0.9,0.5,0.1,0.3), pch=20, cex=2, type=""h"")
# and continue as long as needed!","library,circos.clear,=,data.frame,sample,[,:,rnorm,runif,par,c,circos.initialize,$,circos.trackPlotRegion,function,{,circos.axis,circos.trackPoints,rgb,circos.par,circos.trackLines",
228-add-links-between-regions,thecode-1,images/228-add-links-between-regions/thecode-1.png,"# library
library(circlize)
 
# Create data
set.seed(123)
data = data.frame(
    factor = sample(letters[1:8], 1000, replace = TRUE),
    x = rnorm(1000), 
    y = runif(1000)
    )
 
# Initialize the plot.
par(mar = c(1, 1, 1, 1) ) 
circos.initialize(factors = data$factor, x = data$x )
 
# Build the regions of track #1
circos.trackPlotRegion(factors = data$factor, y=data$y , bg.col = rgb(0.1,0.1,seq(0,1,0.1),0.4) , bg.border = NA)
 
# Add a link between a point and another
circos.link(""a"", 0, ""b"", 0, h = 0.4)
 
# Add a link between a point and a zone
circos.link(""e"", 0, ""g"", c(-1,1), col = ""green"", lwd = 2, lty = 2, border=""black"" )
 
# Add a link between a zone and another
circos.link(""c"", c(-0.5, 0.5), ""d"", c(-0.5,0.5), col = ""red"", border = ""blue"", h = 0.2)","library,set.seed,=,data.frame,sample,[,:,rnorm,runif,par,c,circos.initialize,$,circos.trackPlotRegion,rgb,seq,circos.link,-",
229-several-circular-plots-in-a-figure,thecode-1,images/229-several-circular-plots-in-a-figure/thecode-1.png,"# library
library(circlize)
# Arrange the layout
layout(matrix(1:9, 3, 3)) 
 
# A loop to create 9 circular plots
for(i in 1:9) {
    par(mar = c(0.5, 0.5, 0.5, 0.5), bg=rgb(1,1,1,0.1) )
    factors = 1:8
    circos.par(cell.padding = c(0, 0, 0, 0)) 
    circos.initialize(factors, xlim = c(0, 1)) 
    circos.trackPlotRegion(ylim = c(0, 1), track.height = 0.05, bg.col = rand_color(8), bg.border = NA ) 
 
    # add links
    for(i in 1:20) {
        se = sample(1:8, 2)
        circos.link(se[1], runif(2), se[2], runif(2), col = rand_color(1, transparency = 0.4)) 
        
    }
    circos.clear()
}","library,layout,matrix,:,for,{,par,c,rgb,=,circos.par,circos.initialize,circos.trackPlotRegion,rand_color,sample,circos.link,[,runif,circos.clear",
23-add-colors-to-specific-groups-of-a-boxplot,unnamed-chunk-1-1,images/23-add-colors-to-specific-groups-of-a-boxplot/unnamed-chunk-1-1.png,"#Create data
names <- c(rep(""Maestro"", 20) , rep(""Presto"", 20) , 
      rep(""Nerak"", 20), rep(""Eskimo"", 20), rep(""Nairobi"", 20), rep(""Artiko"", 20))
value <- c(  sample(3:10, 20 , replace=T) , sample(2:5, 20 , replace=T) , 
      sample(6:10, 20 , replace=T), sample(6:10, 20 , replace=T) , 
      sample(1:7, 20 , replace=T), sample(3:10, 20 , replace=T) )
data <- data.frame(names,value)

# Prepare a vector of colors with specific color for Nairobi and Eskimo
myColors <- ifelse(levels(data$names)==""Nairobi"" , rgb(0.1,0.1,0.7,0.5) , 
              ifelse(levels(data$names)==""Eskimo"", rgb(0.8,0.1,0.3,0.6),
              ""grey90"" ) )

# Build the plot
boxplot(data$value ~ data$names , 
    col=myColors , 
    ylab=""disease"" , xlab=""- variety -"")
 
# Add a legend
legend(""bottomleft"", legend = c(""Positiv control"",""Negativ control"") , 
    col = c(rgb(0.1,0.1,0.7,0.5) , rgb(0.8,0.1,0.3,0.6)) , bty = ""n"", pch=20 , pt.cex = 3, cex = 1, horiz = FALSE, inset = c(0.03, 0.1))
","<-,c,rep,sample,:,data.frame,ifelse,==,levels,$,rgb,boxplot,~,legend",boxplot
230-draw-part-of-the-circular-plot-only,thecode-1,images/230-draw-part-of-the-circular-plot-only/thecode-1.png,"# library
library(circlize)
 
# Create data
factors <- letters[1:4]
x1 <- runif(100)
y1 <- runif(100)
 
# general parameter of the plot. 
# With canvas.xlim and canvas.ylim we kind of ""zoom on a part of the plot:
par(mar = c(1, 2, 0.1, 0.1) )
circos.par(""track.height"" = 0.7, ""canvas.xlim"" = c(0, 1), ""canvas.ylim"" = c(0, 1), ""gap.degree"" = 0, ""clock.wise"" = FALSE)
 
# Make the usual plot, but with no border
circos.initialize(factors = factors, xlim = c(0, 1)) 
circos.trackPlotRegion(factors = factors, ylim = c(0, 1), bg.border = NA ) 
 
# Finally we plot only the firs sector, so let's change its border to ""black"" to see it
circos.updatePlotRegion(sector.index = ""a"", bg.border = ""grey"" , bg.lwd=0.2)
 
# Now we can add a plot in this section! You can repeat these steps to add several regions
circos.lines(x1, y1, pch = 16, cex = 0.5, type=""h"" , col=""#69b3a2"" , lwd=3)
 
# Add axis
circos.axis(h=""bottom"" , labels.cex=0.4, direction = ""inside"" )
 
#clear
circos.clear()
","library,<-,[,:,runif,par,c,circos.par,circos.initialize,circos.trackPlotRegion,circos.updatePlotRegion,circos.lines,circos.axis,circos.clear",
233-add-annotations-on-ggplot2-chart,thecodeA-1,images/233-add-annotations-on-ggplot2-chart/thecodeA-1.png,"# library
library(ggplot2)

# basic graph
p <- ggplot(mtcars, aes(x = wt, y = mpg)) + 
  geom_point()
 
# a data frame with all the annotation info
annotation <- data.frame(
   x = c(2,4.5),
   y = c(20,25),
   label = c(""label 1"", ""label 2"")
)

# Add text
p + geom_text(data=annotation, aes( x=x, y=y, label=label),                 , 
           color=""orange"", 
           size=7 , angle=45, fontface=""bold"" )

# Note: possible to shorten with annotate:
# p +
#  annotate(""text"", x = c(2,4.5), y = c(20,25), 
#           label = c(""label 1"", ""label 2"") , color=""orange"", 
#           size=7 , angle=45, fontface=""bold"")
","library,<-,+,ggplot,aes,geom_point,data.frame,c,geom_text","geom_point,geom_text"
233-add-annotations-on-ggplot2-chart,thecodeB-1,images/233-add-annotations-on-ggplot2-chart/thecodeB-1.png,"# Right chart: using labels
p + geom_label(data=annotation, aes( x=x, y=y, label=label),                 , 
           color=""orange"", 
           size=7 , angle=45, fontface=""bold"" )","+,geom_label,aes",geom_label
233-add-annotations-on-ggplot2-chart,thecode1A-1,images/233-add-annotations-on-ggplot2-chart/thecode1A-1.png,"# Add rectangles
p + annotate(""rect"", xmin=c(2,4), xmax=c(3,5), ymin=c(20,10) , ymax=c(30,20), alpha=0.2, color=""blue"", fill=""blue"")","+,annotate,c",
233-add-annotations-on-ggplot2-chart,thecode1B-1,images/233-add-annotations-on-ggplot2-chart/thecode1B-1.png,"# Add segments
p + annotate(""segment"", x = 1, xend = 3, y = 25, yend = 15, colour = ""purple"", size=3, alpha=0.6)","+,annotate",
233-add-annotations-on-ggplot2-chart,thecode1C-1,images/233-add-annotations-on-ggplot2-chart/thecode1C-1.png,"# Add arrow
p + annotate(""segment"", x = 2, xend = 4, y = 15, yend = 25, colour = ""pink"", size=3, alpha=0.6, arrow=arrow())","+,annotate,arrow",arrow
233-add-annotations-on-ggplot2-chart,thecode2-1,images/233-add-annotations-on-ggplot2-chart/thecode2-1.png,"p + 
  # horizontal
  geom_hline(yintercept=25, color=""orange"", size=1) + 
  # vertical
  geom_vline(xintercept=3, color=""orange"", size=1)","+,geom_hline,geom_vline","geom_hline,geom_vline"
233-add-annotations-on-ggplot2-chart,thecode3-1,images/233-add-annotations-on-ggplot2-chart/thecode3-1.png,"# Add point and range
p + annotate(""pointrange"", x = 3.5, y = 20, ymin = 12, ymax = 28,colour = ""orange"", size = 1.5, alpha=0.4)","+,annotate",
234-a-very-basic-treemap,thecode-1,images/234-a-very-basic-treemap/thecode-1.png,"# library
library(treemap)
 
# Create data
group <- c(""group-1"",""group-2"",""group-3"")
value <- c(13,5,22)
data <- data.frame(group,value)
 
# treemap
treemap(data,
            index=""group"",
            vSize=""value"",
            type=""index""
            )","library,<-,c,data.frame,treemap",treemap
235-treemap-with-subgroups,thecode-1,images/235-treemap-with-subgroups/thecode-1.png,"# library
library(treemap)
 
# Build Dataset
group <- c(rep(""group-1"",4),rep(""group-2"",2),rep(""group-3"",3))
subgroup <- paste(""subgroup"" , c(1,2,3,4,1,2,1,2,3), sep=""-"")
value <- c(13,5,22,12,11,7,3,1,23)
data <- data.frame(group,subgroup,value)
 
# treemap
treemap(data,
            index=c(""group"",""subgroup""),
            vSize=""value"",
            type=""index""
            ) ","library,<-,c,rep,paste,data.frame,treemap",treemap
236-custom-your-treemap,thecode-1,images/236-custom-your-treemap/thecode-1.png,"# library
library(treemap)
 
# Create data
group <- c(rep(""group-1"",4),rep(""group-2"",2),rep(""group-3"",3))
subgroup <- paste(""subgroup"" , c(1,2,3,4,1,2,1,2,3), sep=""-"")
value <- c(13,5,22,12,11,7,3,1,23)
data <- data.frame(group,subgroup,value)
 
# Custom labels:
treemap(data, index=c(""group"",""subgroup""),     vSize=""value"", type=""index"",
 
    fontsize.labels=c(15,12),                # size of labels. Give the size per level of aggregation: size for group, size for subgroup, sub-subgroups...
    fontcolor.labels=c(""white"",""orange""),    # Color of labels
    fontface.labels=c(2,1),                  # Font of labels: 1,2,3,4 for normal, bold, italic, bold-italic...
    bg.labels=c(""transparent""),              # Background color of labels
    align.labels=list(
        c(""center"", ""center""), 
        c(""right"", ""bottom"")
        ),                                   # Where to place labels in the rectangle?
    overlap.labels=0.5,                      # number between 0 and 1 that determines the tolerance of the overlap between labels. 0 means that labels of lower levels are not printed if higher level labels overlap, 1  means that labels are always printed. In-between values, for instance the default value .5, means that lower level labels are printed if other labels do not overlap with more than .5  times their area size.
    inflate.labels=F,                        # If true, labels are bigger when rectangle is bigger.
 
)","library,<-,c,rep,paste,data.frame,treemap,list",treemap
236-custom-your-treemap,thecode2-1,images/236-custom-your-treemap/thecode2-1.png,"# Custom borders:
treemap(data, index=c(""group"",""subgroup""), vSize=""value"", type=""index"",
 
    border.col=c(""black"",""white""),             # Color of borders of groups, of subgroups, of subsubgroups ....
    border.lwds=c(7,2)                         # Width of colors
        
    )","treemap,c",treemap
236-custom-your-treemap,thecode3-1,images/236-custom-your-treemap/thecode3-1.png,"# General features:
treemap(data, index=c(""group"",""subgroup""), vSize=""value"", 
 
    type=""index"",                            # How you color the treemap. type help(treemap) for more info
    palette = ""Set1"",                        # Select your color palette from the RColorBrewer presets or make your own.
    title=""My Treemap"",                      # Customize your title
    fontsize.title=12,                       # Size of the title
 
) ","treemap,c",treemap
238-custom-layout-axis-ggplot2,thecode-1,images/238-custom-layout-axis-ggplot2/thecode-1.png,"# Load ggplot2
library(ggplot2)

# Very basic chart
basic <- ggplot( mtcars , aes(x=mpg, y=wt)) + 
  geom_point()
basic","library,<-,+,ggplot,aes,geom_point",geom_point
238-custom-layout-axis-ggplot2,thecode2-1,images/238-custom-layout-axis-ggplot2/thecode2-1.png,"basic+
    xlab(""mpg value"") + 
    xlim(0,50)","+,xlab,xlim",
238-custom-layout-axis-ggplot2,thecode3a-1,images/238-custom-layout-axis-ggplot2/thecode3a-1.png,"# Left -> both axis are modified
basic + theme(axis.title = element_text( angle = 90, color=""red"", size=15, face=3)) # face = title location","+,theme,element_text",
238-custom-layout-axis-ggplot2,thecode3b-1,images/238-custom-layout-axis-ggplot2/thecode3b-1.png,"# Right -> only the x axis is modified
basic + theme(axis.title.x = element_text( angle = 90, color=""red"", size=15, face=3))","+,theme,element_text",
238-custom-layout-axis-ggplot2,thecode4-1,images/238-custom-layout-axis-ggplot2/thecode4-1.png,"basic + 
  theme(axis.text = element_text( 
    angle = 90, 
    color=""blue"", 
    size=15, 
    face=3)
  )","+,theme,element_text",
238-custom-layout-axis-ggplot2,thecode5a-1,images/238-custom-layout-axis-ggplot2/thecode5a-1.png,"# chart 1: ticks
basic + theme(
   axis.ticks = element_line(size = 2, color=""red"") , 
   axis.ticks.length = unit(.5, ""cm"")
)","+,theme,element_line,unit",
238-custom-layout-axis-ggplot2,thecode5b-1,images/238-custom-layout-axis-ggplot2/thecode5b-1.png,"# chart 2: axis lines
basic + theme(axis.line = element_line(size = 3, colour = ""green"", linetype=2))","+,theme,element_line",
238-custom-layout-axis-ggplot2,thecode5c-1,images/238-custom-layout-axis-ggplot2/thecode5c-1.png,"# chart 3: combination
ggplot( mtcars , aes(x=mpg, y=wt)) + geom_point() +
    theme(
        axis.title = element_text( color=""red"", size=15, face=2),
        axis.line = element_line(size = 3, colour = ""green"", linetype=2),
        axis.text = element_text( angle = 90, color=""blue"", size=15, face=2)
        )","+,ggplot,aes,geom_point,theme,element_text,element_line",geom_point
239-custom-layout-legend-ggplot2,thecode-1,images/239-custom-layout-legend-ggplot2/thecode-1.png,"# Load ggplot2
library(ggplot2)

# Very basic chart
basic <- ggplot(mtcars, aes(wt, mpg, colour = factor(cyl), shape = factor(vs) )) +
       geom_point()
basic","library,<-,+,ggplot,aes,factor,geom_point",geom_point
239-custom-layout-legend-ggplot2,thecode2-1,images/239-custom-layout-legend-ggplot2/thecode2-1.png,"basic+
  labs(
         colour = ""name1"",
         shape = ""name2""
        )","+,labs",
239-custom-layout-legend-ggplot2,thecode3a-1,images/239-custom-layout-legend-ggplot2/thecode3a-1.png,"# Left -> get rid of one part of the legend
basic + guides(shape=FALSE)","+,guides",
239-custom-layout-legend-ggplot2,thecode3b-1,images/239-custom-layout-legend-ggplot2/thecode3b-1.png,"# Right -> only the x axis is modified
basic + theme(legend.position = ""none"")","+,theme",
239-custom-layout-legend-ggplot2,thecode4a-1,images/239-custom-layout-legend-ggplot2/thecode4a-1.png,"# Left -> legend around the plot
basic + theme(legend.position = ""bottom"")","+,theme",
239-custom-layout-legend-ggplot2,thecode4b-1,images/239-custom-layout-legend-ggplot2/thecode4b-1.png,"# Right -> inside the plot area
basic + theme(
    legend.position = c(.95, .95),
    legend.justification = c(""right"", ""top""),
    legend.box.just = ""right"",
    legend.margin = margin(6, 6, 6, 6)
    )","+,theme,c,margin",
239-custom-layout-legend-ggplot2,thecode5a-1,images/239-custom-layout-legend-ggplot2/thecode5a-1.png,"# custom box around legend
basic + theme(
    legend.box.background = element_rect(color=""red"", size=2),
    legend.box.margin = margin(116, 6, 6, 6)
)","+,theme,element_rect,margin",
239-custom-layout-legend-ggplot2,thecode5b-1,images/239-custom-layout-legend-ggplot2/thecode5b-1.png,"# custom the key
basic + theme(legend.key = element_rect(fill = ""white"", colour = ""black""))","+,theme,element_rect",
239-custom-layout-legend-ggplot2,thecode5c-1,images/239-custom-layout-legend-ggplot2/thecode5c-1.png,"# custom the text
basic + theme(legend.text = element_text(size = 8, colour = ""red""))","+,theme,element_text",
239-custom-layout-legend-ggplot2,thecode5d-1,images/239-custom-layout-legend-ggplot2/thecode5d-1.png,"# custom the title
basic + theme(legend.title = element_text(face = ""bold""))","+,theme,element_text",
24-boxplot-with-variable-width,unnamed-chunk-1-1,images/24-boxplot-with-variable-width/unnamed-chunk-1-1.png,"# Dummy data
names <- c(rep(""A"", 20) , rep(""B"", 8) , rep(""C"", 30), rep(""D"", 80))
value <- c( sample(2:5, 20 , replace=T) , sample(4:10, 8 , replace=T), 
       sample(1:7, 30 , replace=T), sample(3:8, 80 , replace=T) )
data <- data.frame(names,value)
 
# Calculate proportion of each level
proportion <- table(data$names)/nrow(data)
 
#Draw the boxplot, with the width proportionnal to the occurence !
boxplot(data$value ~ data$names , width=proportion , col=c(""orange"" , ""seagreen""))","<-,c,rep,sample,:,data.frame,/,table,$,nrow,boxplot,~",boxplot
240-custom-layout-background-ggplot2,thecode-1,images/240-custom-layout-background-ggplot2/thecode-1.png,"# Load ggplot2
library(ggplot2)

# Very basic chart
basic <- ggplot( mtcars , aes(x=mpg, y=wt)) +
  geom_point()
basic","library,<-,+,ggplot,aes,geom_point",geom_point
240-custom-layout-background-ggplot2,thecode2-1,images/240-custom-layout-background-ggplot2/thecode2-1.png,"basic + theme(
    plot.background = element_rect(fill = ""green""), 
    panel.background = element_rect(fill = ""red"", colour=""blue"")
    )","+,theme,element_rect",
240-custom-layout-background-ggplot2,thecode3a-1,images/240-custom-layout-background-ggplot2/thecode3a-1.png,"# Modify for both axis
basic + theme(
    panel.grid.major = element_line(colour = ""red"", linetype = ""dotted""),
    panel.grid.minor = element_line(colour = ""blue"", size = 2)
    )","+,theme,element_line",
240-custom-layout-background-ggplot2,thecode3b-1,images/240-custom-layout-background-ggplot2/thecode3b-1.png,"# Modify y axis only (remove)
basic + theme(
    panel.grid.major.y = element_blank(),
    panel.grid.minor.y = element_blank()
)","+,theme,element_blank",
241-custom-layout-strip-ggplot2,thecodeA-1,images/241-custom-layout-strip-ggplot2/thecodeA-1.png,"
library(ggplot2)
 
# basic chart
basic=ggplot(mtcars, aes(wt, mpg)) +
    geom_point() +
    facet_wrap(~ cyl)
basic
 ","library,=,+,ggplot,aes,geom_point,facet_wrap,~","geom_point,facet_wrap"
241-custom-layout-strip-ggplot2,thecodeB-1,images/241-custom-layout-strip-ggplot2/thecodeB-1.png,"
# Change background
basic + theme(strip.background = element_rect(colour = ""red"", fill = alpha(""blue"",0.2) ))
","+,theme,element_rect,alpha",
241-custom-layout-strip-ggplot2,thecodeC-1,images/241-custom-layout-strip-ggplot2/thecodeC-1.png,"
# Change the text 
basic + theme(strip.text.x = element_text(colour = ""red"", face = ""bold"", size=10, angle=30))
 
","+,theme,element_text",
241-custom-layout-strip-ggplot2,thecodeD-1,images/241-custom-layout-strip-ggplot2/thecodeD-1.png,"
# Change the space between parts:
basic + theme(panel.spacing = unit(4, ""lines""))","+,theme,unit",
247-network-chart-layouts,thecode8-1,images/247-network-chart-layouts/thecode8-1.png,"# library
library(igraph)
 
# Create data
data <- matrix(sample(0:1, 400, replace=TRUE, prob=c(0.8,0.2)), nrow=20)
network <- graph_from_adjacency_matrix(data , mode='undirected', diag=F )
 
# When ploting, we can use different layouts:
par(mfrow=c(2,2), mar=c(1,1,1,1))
plot(network, layout=layout.sphere, main=""sphere"")
plot(network, layout=layout.circle, main=""circle"")
plot(network, layout=layout.random, main=""random"")
plot(network, layout=layout.fruchterman.reingold, main=""fruchterman.reingold"")
 
# See the complete list with
# help(layout)","library,<-,matrix,sample,:,c,graph_from_adjacency_matrix,par,plot",
248-igraph-plotting-parameters,thecode1-1,images/248-igraph-plotting-parameters/thecode1-1.png,"# Library
library(igraph)

# Create data
set.seed(1)
data <- matrix(sample(0:1, 100, replace=TRUE, prob=c(0.8,0.2)), nc=10)
network <- graph_from_adjacency_matrix(data , mode='undirected', diag=F )

# Default network
par(mar=c(0,0,0,0))
plot(network)","library,set.seed,<-,matrix,sample,:,c,graph_from_adjacency_matrix,par,plot",
248-igraph-plotting-parameters,thecode2-1,images/248-igraph-plotting-parameters/thecode2-1.png,"plot(network,
    vertex.color = rgb(0.8,0.2,0.2,0.9),           # Node color
    vertex.frame.color = ""Forestgreen"",            # Node border color
    vertex.shape=c(""circle"",""square""),             # One of “none”, “circle”, “square”, “csquare”, “rectangle” “crectangle”, “vrectangle”, “pie”, “raster”, or “sphere”
    vertex.size=c(15:24),                          # Size of the node (default is 15)
    vertex.size2=NA,                               # The second size of the node (e.g. for a rectangle)
    )","plot,rgb,c,:",
248-igraph-plotting-parameters,thecode3-1,images/248-igraph-plotting-parameters/thecode3-1.png,"plot(network,
    vertex.label=LETTERS[1:10],                    # Character vector used to label the nodes
    vertex.label.color=c(""red"",""blue""),
    vertex.label.family=""Times"",                   # Font family of the label (e.g.“Times”, “Helvetica”)
    vertex.label.font=c(1,2,3,4),                  # Font: 1 plain, 2 bold, 3, italic, 4 bold italic, 5 symbol
    vertex.label.cex=c(0.5,1,1.5),                 # Font size (multiplication factor, device-dependent)
    vertex.label.dist=0,                           # Distance between the label and the vertex
    vertex.label.degree=0 ,                        # The position of the label in relation to the vertex (use pi)
    )","plot,[,:,c",
248-igraph-plotting-parameters,thecode4-1,images/248-igraph-plotting-parameters/thecode4-1.png,"plot(network,
    edge.color=rep(c(""red"",""pink""),5),           # Edge color
    edge.width=seq(1,10),                        # Edge width, defaults to 1
    edge.arrow.size=1,                           # Arrow size, defaults to 1
    edge.arrow.width=1,                          # Arrow width, defaults to 1
    edge.lty=c(""solid"")                           # Line type, could be 0 or “blank”, 1 or “solid”, 2 or “dashed”, 3 or “dotted”, 4 or “dotdash”, 5 or “longdash”, 6 or “twodash”
    #edge.curved=c(rep(0,5), rep(1,5))            # Edge curvature, range 0-1 (FALSE sets it to 0, TRUE to 0.5)
    )","plot,rep,c,seq",
248-igraph-plotting-parameters,thecode5-1,images/248-igraph-plotting-parameters/thecode5-1.png,"par(bg=""black"")

plot(network, 
    
    # === vertex
    vertex.color = rgb(0.8,0.4,0.3,0.8),          # Node color
    vertex.frame.color = ""white"",                 # Node border color
    vertex.shape=""circle"",                        # One of “none”, “circle”, “square”, “csquare”, “rectangle” “crectangle”, “vrectangle”, “pie”, “raster”, or “sphere”
    vertex.size=14,                               # Size of the node (default is 15)
    vertex.size2=NA,                              # The second size of the node (e.g. for a rectangle)
    
    # === vertex label
    vertex.label=LETTERS[1:10],                   # Character vector used to label the nodes
    vertex.label.color=""white"",
    vertex.label.family=""Times"",                  # Font family of the label (e.g.“Times”, “Helvetica”)
    vertex.label.font=2,                          # Font: 1 plain, 2 bold, 3, italic, 4 bold italic, 5 symbol
    vertex.label.cex=1,                           # Font size (multiplication factor, device-dependent)
    vertex.label.dist=0,                          # Distance between the label and the vertex
    vertex.label.degree=0 ,                       # The position of the label in relation to the vertex (use pi)
    
    # === Edge
    edge.color=""white"",                           # Edge color
    edge.width=4,                                 # Edge width, defaults to 1
    edge.arrow.size=1,                            # Arrow size, defaults to 1
    edge.arrow.width=1,                           # Arrow width, defaults to 1
    edge.lty=""solid"",                             # Line type, could be 0 or “blank”, 1 or “solid”, 2 or “dashed”, 3 or “dotted”, 4 or “dotdash”, 5 or “longdash”, 6 or “twodash”
    edge.curved=0.3    ,                          # Edge curvature, range 0-1 (FALSE sets it to 0, TRUE to 0.5)
    )","par,plot,rgb,[,:",
249-igraph-network-map-a-color,thecode8-1,images/249-igraph-network-map-a-color/thecode8-1.png,"# library
library(igraph)
 
# create data:
links <- data.frame(
    source=c(""A"",""A"", ""A"", ""A"", ""A"",""J"", ""B"", ""B"", ""C"", ""C"", ""D"",""I""),
    target=c(""B"",""B"", ""C"", ""D"", ""J"",""A"",""E"", ""F"", ""G"", ""H"", ""I"",""I""),
    importance=(sample(1:4, 12, replace=T))
    )
nodes <- data.frame(
    name=LETTERS[1:10],
    carac=c( rep(""young"",3),rep(""adult"",2), rep(""old"",5))
    )
 
# Turn it into igraph object
network <- graph_from_data_frame(d=links, vertices=nodes, directed=F) 
 
# Make a palette of 3 colors
library(RColorBrewer)
coul  <- brewer.pal(3, ""Set1"") 
 
# Create a vector of color
my_color <- coul[as.numeric(as.factor(V(network)$carac))]
 
# Make the plot
plot(network, vertex.color=my_color)
 
# Add a legend
legend(""bottomleft"", legend=levels(as.factor(V(network)$carac))  , col = coul , bty = ""n"", pch=20 , pt.cex = 3, cex = 1.5, text.col=coul , horiz = FALSE, inset = c(0.1, 0.1))
","library,<-,data.frame,c,(,sample,:,[,rep,graph_from_data_frame,brewer.pal,as.numeric,as.factor,$,V,plot,legend,levels",
249-igraph-network-map-a-color,thecode1-1,images/249-igraph-network-map-a-color/thecode1-1.png,"# Check
#E(network)$importance

# Plot
plot(network, vertex.color=my_color, edge.width=E(network)$importance*2 )
legend(""bottomleft"", legend=levels(as.factor(V(network)$carac))  , col = coul , bty = ""n"", pch=20 , pt.cex = 3, cex = 1.5, text.col=coul , horiz = FALSE, inset = c(0.1, 0.1))","plot,*,$,E,legend,levels,as.factor,V,c",
25-histogram-without-border,unnamed-chunk-1-1,images/25-histogram-without-border/unnamed-chunk-1-1.png,"# Create data 
my_variable=c(rnorm(1000 , 0 , 2) , rnorm(1000 , 9 , 2))
 
# Draw the histogram with border=F
hist(my_variable , breaks=40 , col=rgb(0.2,0.8,0.5,0.5) , border=F , main="""")","=,c,rnorm,hist,rgb",hist
250-correlation-network-with-igraph,thecode2-1,images/250-correlation-network-with-igraph/thecode2-1.png,"# Keep only high correlations
mat[mat<0.995] <- 0
 
# Make an Igraph object from this matrix:
network <- graph_from_adjacency_matrix( mat, weighted=T, mode=""undirected"", diag=F)

# Basic chart
plot(network)","<-,[,<,graph_from_adjacency_matrix,plot",
250-correlation-network-with-igraph,thecode3-1,images/250-correlation-network-with-igraph/thecode3-1.png,"# color palette
library(RColorBrewer)
coul <- brewer.pal(nlevels(as.factor(mtcars$cyl)), ""Set2"")

# Map the color to cylinders
my_color <- coul[as.numeric(as.factor(mtcars$cyl))]

# plot
par(bg=""grey13"", mar=c(0,0,0,0))
set.seed(4)
plot(network, 
    vertex.size=12,
    vertex.color=my_color, 
    vertex.label.cex=0.7,
    vertex.label.color=""white"",
    vertex.frame.color=""transparent""
    )

# title and legend
text(0,0,""mtcars network"",col=""white"", cex=1.5)
legend(x=-0.2, y=-0.12, 
       legend=paste( levels(as.factor(mtcars$cyl)), "" cylinders"", sep=""""), 
       col = coul , 
       bty = ""n"", pch=20 , pt.cex = 2, cex = 1,
       text.col=""white"" , horiz = F)","library,<-,brewer.pal,nlevels,as.factor,$,[,as.numeric,par,c,set.seed,plot,text,legend,-,paste,levels",text
250-correlation-network-with-igraph,thecode4-1,images/250-correlation-network-with-igraph/thecode4-1.png,"plot(network,
    edge.color=rep(c(""red"",""pink""),5),           # Edge color
    edge.width=seq(1,10),                        # Edge width, defaults to 1
    edge.arrow.size=1,                           # Arrow size, defaults to 1
    edge.arrow.width=1,                          # Arrow width, defaults to 1
    edge.lty=c(""solid"")                           # Line type, could be 0 or “blank”, 1 or “solid”, 2 or “dashed”, 3 or “dotted”, 4 or “dotdash”, 5 or “longdash”, 6 or “twodash”
    #edge.curved=c(rep(0,5), rep(1,5))            # Edge curvature, range 0-1 (FALSE sets it to 0, TRUE to 0.5)
    )","plot,rep,c,seq",
